[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 02:49:24:548 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 02:49:34:499 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=837631, Min=723968, Avg=772010.67, 90=814591, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-21 02:49:44:496 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=825343, Min=741888, Avg=770579.69, 90=811519, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-21 02:49:54:496 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=852991, Min=705024, Avg=771367.38, 90=833535, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-21 02:50:04:496 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=857599, Min=688640, Avg=762978.46, 90=817663, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-21 02:50:14:495 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=831999, Min=724480, Avg=781568, 90=826879, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 02:50:24:496 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=870911, Min=699392, Avg=768689.23, 90=827903, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-21 02:50:34:498 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=821759, Min=728064, Avg=760103.38, 90=820223, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-21 02:50:44:496 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=818687, Min=732160, Avg=769161.85, 90=814079, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-21 02:50:54:496 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=845311, Min=719872, Avg=776054.15, 90=813055, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-21 02:51:04:495 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=825855, Min=715776, Avg=761521.23, 90=820223, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-21 02:51:14:496 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=831487, Min=715776, Avg=760772.92, 90=820223, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 02:51:24:496 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=818687, Min=701440, Avg=759630.77, 90=816127, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-21 02:51:34:496 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=820735, Min=735232, Avg=770500.92, 90=819711, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 02:51:44:497 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=823295, Min=697856, Avg=758606.77, 90=813567, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-21 02:51:54:496 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=846847, Min=712704, Avg=768256, 90=829439, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 02:52:04:496 160 sec: 207 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=831487, Min=720896, Avg=763805.54, 90=821247, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 02:52:14:495 170 sec: 221 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=820735, Min=720896, Avg=761892.57, 90=817151, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 02:52:24:495 180 sec: 234 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=880639, Min=702464, Avg=768768, 90=833023, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-21 02:52:34:495 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=849407, Min=713216, Avg=766089.85, 90=832511, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-21 02:52:44:496 200 sec: 260 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=835071, Min=715776, Avg=770737.23, 90=833023, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-21 02:52:54:498 210 sec: 272 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=845823, Min=717312, Avg=774954.67, 90=843263, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 02:53:04:496 220 sec: 286 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=878591, Min=706048, Avg=763830.86, 90=828927, 99=878591, 99.9=878591, 99.99=878591] 
2019-05-21 02:53:14:497 230 sec: 299 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=815615, Min=721920, Avg=766601.85, 90=813567, 99=815615, 99.9=815615, 99.99=815615] 
2019-05-21 02:53:24:496 240 sec: 312 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=821247, Min=701952, Avg=766404.92, 90=821247, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 02:53:34:498 250 sec: 325 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=846847, Min=693248, Avg=766798.77, 90=830463, 99=846847, 99.9=846847, 99.99=846847] 
