[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 01:52:56:178 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 01:53:06:104 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=843263, Min=710656, Avg=780074.67, 90=837631, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-21 01:53:16:101 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=828415, Min=723456, Avg=765656.62, 90=806911, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-21 01:53:26:102 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=869887, Min=698880, Avg=758685.54, 90=844287, 99=869887, 99.9=869887, 99.99=869887] 
2019-05-21 01:53:36:101 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=850431, Min=721920, Avg=766365.54, 90=841215, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-21 01:53:46:102 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=864767, Min=712192, Avg=767468.31, 90=825855, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-21 01:53:56:102 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=826367, Min=708096, Avg=762820.92, 90=814591, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 01:54:06:101 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=902143, Min=702464, Avg=773533.54, 90=816639, 99=902143, 99.9=902143, 99.99=902143] 
2019-05-21 01:54:16:102 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=857599, Min=720384, Avg=784128, 90=842239, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-21 01:54:26:102 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=883199, Min=713728, Avg=773848.62, 90=839679, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-21 01:54:36:102 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=848383, Min=703488, Avg=771840, 90=841727, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 01:54:46:101 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=864255, Min=705024, Avg=765814.15, 90=842751, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-21 01:54:56:101 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=831999, Min=687616, Avg=759276.31, 90=822271, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 01:55:06:101 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=836095, Min=637440, Avg=762899.69, 90=826367, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-21 01:55:16:101 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=830975, Min=704000, Avg=771446.15, 90=826879, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 01:55:26:102 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=823295, Min=705536, Avg=769122.46, 90=814591, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-21 01:55:36:102 160 sec: 207 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=854527, Min=695296, Avg=762427.08, 90=835583, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 01:55:46:101 170 sec: 220 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=854527, Min=707072, Avg=776369.23, 90=851967, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 01:55:56:101 180 sec: 233 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=837119, Min=710656, Avg=771446.15, 90=821759, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 01:56:06:101 190 sec: 246 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=846335, Min=695296, Avg=755298.46, 90=822783, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-21 01:56:16:101 200 sec: 259 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=870399, Min=719360, Avg=769201.23, 90=819199, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-21 01:56:26:101 210 sec: 272 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=857599, Min=725504, Avg=780268.31, 90=836607, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-21 01:56:36:101 220 sec: 285 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=855551, Min=716800, Avg=767665.23, 90=848895, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 01:56:46:101 230 sec: 298 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=830975, Min=715264, Avg=763569.23, 90=823807, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 01:56:56:101 240 sec: 311 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=820735, Min=702464, Avg=751675.08, 90=819199, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 01:57:06:102 250 sec: 324 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=870911, Min=722944, Avg=775660.31, 90=831487, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-21 01:57:16:101 260 sec: 337 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=843263, Min=707072, Avg=765105.23, 90=835071, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-21 01:57:26:101 270 sec: 350 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=826367, Min=700416, Avg=759906.46, 90=810495, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 01:57:36:101 280 sec: 364 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=852479, Min=656384, Avg=758016, 90=837631, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-21 01:57:46:101 290 sec: 376 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=859135, Min=699392, Avg=774784, 90=835071, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-21 01:57:56:101 300 sec: 390 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=852991, Min=700416, Avg=757248, 90=851455, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-21 01:58:06:101 310 sec: 403 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=873983, Min=697344, Avg=765420.31, 90=833535, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-21 01:58:16:101 320 sec: 416 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=848383, Min=704000, Avg=772745.85, 90=839167, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 01:58:26:101 330 sec: 429 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=812543, Min=722432, Avg=761363.69, 90=808447, 99=812543, 99.9=812543, 99.99=812543] 
2019-05-21 01:58:36:101 340 sec: 442 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=851967, Min=701440, Avg=763332.92, 90=850431, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-21 01:58:46:101 350 sec: 455 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=847359, Min=710656, Avg=772194.46, 90=813055, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 01:58:56:104 360 sec: 468 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=837119, Min=715776, Avg=767310.77, 90=817663, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 01:59:06:101 370 sec: 481 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=904703, Min=714240, Avg=771328, 90=814591, 99=904703, 99.9=904703, 99.99=904703] 
2019-05-21 01:59:16:106 380 sec: 494 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=836607, Min=699904, Avg=765696, 90=799743, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-21 01:59:26:101 390 sec: 507 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=888831, Min=695808, Avg=771052.31, 90=819711, 99=888831, 99.9=888831, 99.99=888831] 
2019-05-21 01:59:36:101 400 sec: 520 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=836095, Min=709120, Avg=761954.46, 90=822271, 99=836095, 99.9=836095, 99.99=836095] 
