[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 04:46:40:926 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 04:46:50:870 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=848895, Min=711680, Avg=779221.33, 90=848383, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-21 04:47:00:868 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=868863, Min=711680, Avg=773769.85, 90=845311, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-21 04:47:10:868 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=883199, Min=723456, Avg=772391.38, 90=803327, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-21 04:47:20:875 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=822271, Min=720896, Avg=769949.54, 90=819711, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 04:47:30:868 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=817663, Min=722944, Avg=766641.23, 90=813055, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-21 04:47:40:868 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=851455, Min=707072, Avg=763136, 90=843775, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-21 04:47:50:868 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=829439, Min=724992, Avg=766680.62, 90=817151, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-21 04:48:00:868 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=870399, Min=696320, Avg=755928.62, 90=808447, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-21 04:48:10:868 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=813055, Min=697344, Avg=758291.69, 90=805375, 99=813055, 99.9=813055, 99.99=813055] 
2019-05-21 04:48:20:869 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=868863, Min=696320, Avg=774754.46, 90=840191, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-21 04:48:30:868 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=798207, Min=636928, Avg=749430.15, 90=797183, 99=798207, 99.9=798207, 99.99=798207] 
2019-05-21 04:48:40:868 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=827903, Min=704000, Avg=771209.85, 90=821759, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-21 04:48:50:868 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=839167, Min=717312, Avg=772273.23, 90=817151, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 04:49:00:868 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=839167, Min=709120, Avg=758685.54, 90=805887, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 04:49:10:868 150 sec: 195 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=831487, Min=701952, Avg=759149.71, 90=802815, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 04:49:20:868 160 sec: 208 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=826367, Min=694784, Avg=766877.54, 90=824319, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 04:49:30:868 170 sec: 221 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=838143, Min=704512, Avg=755101.54, 90=814079, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 04:49:40:869 180 sec: 234 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=822271, Min=693248, Avg=755692.31, 90=821247, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 04:49:50:868 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=833535, Min=707584, Avg=760536.62, 90=821759, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-21 04:50:00:869 200 sec: 260 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=826367, Min=712192, Avg=762151.38, 90=819199, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 04:50:10:868 210 sec: 274 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=816639, Min=687616, Avg=747922.29, 90=800255, 99=816639, 99.9=816639, 99.99=816639] 
2019-05-21 04:50:20:869 220 sec: 287 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=843263, Min=688640, Avg=768295.38, 90=819199, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-21 04:50:30:869 230 sec: 300 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=811519, Min=707072, Avg=759197.54, 90=805375, 99=811519, 99.9=811519, 99.99=811519] 
2019-05-21 04:50:40:869 240 sec: 313 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=827391, Min=699392, Avg=751635.69, 90=804863, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-21 04:50:50:869 250 sec: 327 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=820735, Min=707072, Avg=754066.29, 90=813055, 99=820735, 99.9=820735, 99.99=820735] 
