[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-16 20:06:43:239 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-16 20:06:53:184 10 sec: 12 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=873983, Min=703488, Avg=791509.33, 90=859647, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-16 20:07:03:180 20 sec: 24 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=880639, Min=723968, Avg=794666.67, 90=854015, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-16 20:07:13:181 30 sec: 37 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=867839, Min=680960, Avg=782040.62, 90=864255, 99=867839, 99.9=867839, 99.99=867839] 
2019-05-16 20:07:23:180 40 sec: 50 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=857599, Min=715264, Avg=778535.38, 90=846335, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-16 20:07:33:180 50 sec: 63 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=853503, Min=703488, Avg=773848.62, 90=833023, 99=853503, 99.9=853503, 99.99=853503] 
2019-05-16 20:07:43:180 60 sec: 75 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=868351, Min=721408, Avg=777984, 90=848383, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-16 20:07:53:180 70 sec: 88 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=889855, Min=695296, Avg=780583.38, 90=846335, 99=889855, 99.9=889855, 99.99=889855] 
2019-05-16 20:08:03:180 80 sec: 101 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=875519, Min=717312, Avg=786294.15, 90=853503, 99=875519, 99.9=875519, 99.99=875519] 
2019-05-16 20:08:13:180 90 sec: 114 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=873471, Min=691712, Avg=784797.54, 90=858111, 99=873471, 99.9=873471, 99.99=873471] 
2019-05-16 20:08:23:180 100 sec: 127 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=870911, Min=689664, Avg=775384.62, 90=860159, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-16 20:08:33:180 110 sec: 139 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=889855, Min=700928, Avg=788736, 90=873471, 99=889855, 99.9=889855, 99.99=889855] 
2019-05-16 20:08:43:180 120 sec: 152 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=876031, Min=688128, Avg=789444.92, 90=871935, 99=876031, 99.9=876031, 99.99=876031] 
2019-05-16 20:08:53:180 130 sec: 165 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=892927, Min=696832, Avg=783852.31, 90=853503, 99=892927, 99.9=892927, 99.99=892927] 
2019-05-16 20:09:03:180 140 sec: 177 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=902655, Min=695808, Avg=792192, 90=875519, 99=902655, 99.9=902655, 99.99=902655] 
2019-05-16 20:09:13:180 150 sec: 190 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=868351, Min=640512, Avg=783931.08, 90=867327, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-16 20:09:23:180 160 sec: 203 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=872959, Min=640512, Avg=776960, 90=846335, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-16 20:09:33:180 170 sec: 216 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=916991, Min=678400, Avg=791059.69, 90=869375, 99=916991, 99.9=916991, 99.99=916991] 
2019-05-16 20:09:43:180 180 sec: 228 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=919039, Min=669184, Avg=784597.33, 90=895999, 99=919039, 99.9=919039, 99.99=919039] 
2019-05-16 20:09:53:180 190 sec: 241 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=880639, Min=737792, Avg=790429.54, 90=849919, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-16 20:10:03:180 200 sec: 254 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=864767, Min=689152, Avg=777708.31, 90=851967, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-16 20:10:13:180 210 sec: 267 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=870911, Min=705536, Avg=775463.38, 90=843263, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-16 20:10:23:180 220 sec: 280 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=867327, Min=709632, Avg=784679.38, 90=858623, 99=867327, 99.9=867327, 99.99=867327] 
2019-05-16 20:10:33:180 230 sec: 292 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=875007, Min=737280, Avg=794368, 90=867839, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-16 20:10:43:180 240 sec: 305 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=891391, Min=740864, Avg=801142.15, 90=870911, 99=891391, 99.9=891391, 99.99=891391] 
2019-05-16 20:10:53:180 250 sec: 317 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=872959, Min=730624, Avg=790613.33, 90=867327, 99=872959, 99.9=872959, 99.99=872959] 
