[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-22 07:13:29:187 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-22 07:13:39:132 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=875519, Min=684032, Avg=777642.67, 90=860671, 99=875519, 99.9=875519, 99.99=875519] 
2019-05-22 07:13:49:128 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=911871, Min=715264, Avg=776408.62, 90=849407, 99=911871, 99.9=911871, 99.99=911871] 
2019-05-22 07:13:59:128 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=875519, Min=722944, Avg=767862.15, 90=840703, 99=875519, 99.9=875519, 99.99=875519] 
2019-05-22 07:14:09:128 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=857087, Min=722944, Avg=767980.31, 90=842239, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-22 07:14:19:128 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=846335, Min=696320, Avg=774281.85, 90=836607, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-22 07:14:29:128 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=821759, Min=728576, Avg=769437.54, 90=813055, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-22 07:14:39:128 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=846847, Min=687104, Avg=760576, 90=795647, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-22 07:14:49:128 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=846847, Min=681984, Avg=758646.15, 90=839167, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-22 07:14:59:128 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=858623, Min=731648, Avg=776684.31, 90=826367, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-22 07:15:09:128 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=834559, Min=712704, Avg=769988.92, 90=811519, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-22 07:15:19:128 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=858623, Min=690688, Avg=763175.38, 90=819711, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-22 07:15:29:128 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=854527, Min=699904, Avg=760536.62, 90=799743, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-22 07:15:39:128 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=816639, Min=704512, Avg=757070.77, 90=811007, 99=816639, 99.9=816639, 99.99=816639] 
2019-05-22 07:15:49:128 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=863231, Min=716288, Avg=766326.15, 90=824319, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 07:15:59:129 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=833023, Min=729600, Avg=775424, 90=815103, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-22 07:16:09:128 160 sec: 207 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=874495, Min=680448, Avg=765499.08, 90=822271, 99=874495, 99.9=874495, 99.99=874495] 
2019-05-22 07:16:19:128 170 sec: 220 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=857599, Min=713728, Avg=764396.31, 90=836095, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-22 07:16:29:128 180 sec: 233 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=836607, Min=692736, Avg=769831.38, 90=826367, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-22 07:16:39:128 190 sec: 246 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=853503, Min=711168, Avg=765184, 90=847871, 99=853503, 99.9=853503, 99.99=853503] 
2019-05-22 07:16:49:128 200 sec: 259 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=825343, Min=709120, Avg=761206.15, 90=821759, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-22 07:16:59:128 210 sec: 272 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=855551, Min=708096, Avg=772627.69, 90=851455, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-22 07:17:09:128 220 sec: 285 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=876543, Min=718848, Avg=776329.85, 90=848895, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-22 07:17:19:128 230 sec: 298 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=832511, Min=739840, Avg=774596.92, 90=831999, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 07:17:29:128 240 sec: 311 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=845311, Min=702464, Avg=770540.31, 90=835583, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-22 07:17:39:129 250 sec: 324 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=860159, Min=672256, Avg=773257.85, 90=859135, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 07:17:49:128 260 sec: 337 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=862719, Min=712704, Avg=778968.62, 90=855551, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-22 07:17:59:128 270 sec: 350 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=879615, Min=707072, Avg=767586.46, 90=869887, 99=879615, 99.9=879615, 99.99=879615] 
2019-05-22 07:18:09:128 280 sec: 363 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=826367, Min=704000, Avg=771800.62, 90=821759, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-22 07:18:19:128 290 sec: 376 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=852991, Min=713728, Avg=770894.77, 90=846335, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-22 07:18:29:128 300 sec: 389 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=833535, Min=716288, Avg=764593.23, 90=817663, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-22 07:18:39:128 310 sec: 402 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=859647, Min=626176, Avg=756834.46, 90=847871, 99=859647, 99.9=859647, 99.99=859647] 
